customer_id,churn_probability,churn_predicted,risk_tier,monthly_mrr,mrr_at_risk,recommended_action
CUST_01516,0.9166,1,CRITICAL,199,182.39,Immediate CSM outreach + retention offer
CUST_01581,0.8941,1,CRITICAL,499,446.14,Immediate CSM outreach + retention offer
CUST_00943,0.8606,1,CRITICAL,199,171.26,Immediate CSM outreach + retention offer
CUST_02352,0.858,1,CRITICAL,79,67.78,Immediate CSM outreach + retention offer
CUST_00551,0.8565,1,CRITICAL,79,67.66,Immediate CSM outreach + retention offer
CUST_02183,0.844,1,CRITICAL,199,167.96,Immediate CSM outreach + retention offer
CUST_01459,0.8415,1,CRITICAL,29,24.4,Immediate CSM outreach + retention offer
CUST_01294,0.8405,1,CRITICAL,199,167.26,Immediate CSM outreach + retention offer
CUST_02353,0.8389,1,CRITICAL,79,66.27,Immediate CSM outreach + retention offer
CUST_04345,0.8384,1,CRITICAL,499,418.34,Immediate CSM outreach + retention offer
CUST_00671,0.8329,1,CRITICAL,29,24.15,Immediate CSM outreach + retention offer
CUST_04014,0.829,1,CRITICAL,29,24.04,Immediate CSM outreach + retention offer
CUST_01809,0.8289,1,CRITICAL,29,24.04,Immediate CSM outreach + retention offer
CUST_03459,0.8251,1,CRITICAL,29,23.93,Immediate CSM outreach + retention offer
CUST_02777,0.8246,1,CRITICAL,199,164.1,Immediate CSM outreach + retention offer
CUST_01119,0.8222,1,CRITICAL,199,163.61,Immediate CSM outreach + retention offer
CUST_00626,0.822,1,CRITICAL,79,64.94,Immediate CSM outreach + retention offer
CUST_03114,0.822,1,CRITICAL,79,64.94,Immediate CSM outreach + retention offer
CUST_03324,0.8218,1,CRITICAL,29,23.83,Immediate CSM outreach + retention offer
CUST_00619,0.8218,1,CRITICAL,29,23.83,Immediate CSM outreach + retention offer
CUST_04423,0.8202,1,CRITICAL,79,64.8,Immediate CSM outreach + retention offer
CUST_03207,0.8193,1,CRITICAL,29,23.76,Immediate CSM outreach + retention offer
CUST_04125,0.819,1,CRITICAL,499,408.68,Immediate CSM outreach + retention offer
CUST_01044,0.8172,1,CRITICAL,199,162.63,Immediate CSM outreach + retention offer
CUST_02513,0.8149,1,CRITICAL,29,23.63,Immediate CSM outreach + retention offer
CUST_01007,0.8147,1,CRITICAL,29,23.63,Immediate CSM outreach + retention offer
CUST_04078,0.814,1,CRITICAL,199,161.99,Immediate CSM outreach + retention offer
CUST_00467,0.8136,1,CRITICAL,199,161.91,Immediate CSM outreach + retention offer
CUST_01039,0.8128,1,CRITICAL,199,161.74,Immediate CSM outreach + retention offer
CUST_01885,0.8113,1,CRITICAL,499,404.84,Immediate CSM outreach + retention offer
CUST_02934,0.8092,1,CRITICAL,29,23.47,Immediate CSM outreach + retention offer
CUST_02673,0.8088,1,CRITICAL,79,63.9,Immediate CSM outreach + retention offer
CUST_04357,0.8084,1,CRITICAL,29,23.44,Immediate CSM outreach + retention offer
CUST_00188,0.8078,1,CRITICAL,499,403.08,Immediate CSM outreach + retention offer
CUST_01893,0.8066,1,CRITICAL,79,63.72,Immediate CSM outreach + retention offer
CUST_04826,0.8064,1,CRITICAL,79,63.71,Immediate CSM outreach + retention offer
CUST_02345,0.8039,1,CRITICAL,29,23.31,Immediate CSM outreach + retention offer
CUST_00892,0.8028,1,CRITICAL,79,63.43,Immediate CSM outreach + retention offer
CUST_04500,0.8023,1,CRITICAL,79,63.38,Immediate CSM outreach + retention offer
CUST_00775,0.8018,1,CRITICAL,79,63.34,Immediate CSM outreach + retention offer
CUST_03364,0.8017,1,CRITICAL,79,63.33,Immediate CSM outreach + retention offer
CUST_02009,0.7999,1,CRITICAL,29,23.2,Immediate CSM outreach + retention offer
CUST_01021,0.7996,1,CRITICAL,199,159.12,Immediate CSM outreach + retention offer
CUST_00124,0.799,1,CRITICAL,499,398.71,Immediate CSM outreach + retention offer
CUST_00782,0.7987,1,CRITICAL,79,63.1,Immediate CSM outreach + retention offer
CUST_03410,0.7971,1,CRITICAL,79,62.97,Immediate CSM outreach + retention offer
CUST_02431,0.7961,1,CRITICAL,79,62.89,Immediate CSM outreach + retention offer
CUST_04795,0.7961,1,CRITICAL,79,62.89,Immediate CSM outreach + retention offer
CUST_04496,0.796,1,CRITICAL,79,62.88,Immediate CSM outreach + retention offer
CUST_00326,0.7949,1,CRITICAL,29,23.05,Immediate CSM outreach + retention offer
